## [iView]
## Converted from:	C:\Users\iView X\Desktop\Results\social_stim\soc_002-[b3d6a544-86ff-41a2-94fd-602cf00fc08c]\soc_002-eye_data.idf
## Date:	14.03.2016 13:02:50
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	30
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4878                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	soc_002                                                                                                                                                                                                                                                         
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1280	1024
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RNX1044601-1524//SMI_REDn Scientific///Binoc
## Operating System :	6.2.9200
## iView X Version:	4.2.1.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, TRIGGER, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Stimulus
1254870080	SMP	1	0	0	457.48	413.53	Faces_Pure_1_low.avi
1254903422	SMP	1	0	0	447.4	448.76	Faces_Pure_1_low.avi
1254936756	SMP	1	0	0	456.65	440.1	Faces_Pure_1_low.avi
1254970076	SMP	1	0	0	459.24	433.9	Faces_Pure_1_low.avi
1255003416	SMP	1	0	0	483.34	498.16	Faces_Pure_1_low.avi
1255036756	SMP	1	0	0	505.96	460.61	Faces_Pure_1_low.avi
1255070069	SMP	1	0	0	491.2	459.66	Faces_Pure_1_low.avi
1255103385	SMP	1	0	0	504.1	452.83	Faces_Pure_1_low.avi
1255136701	SMP	1	0	0	509.98	462.92	Faces_Pure_1_low.avi
1255170041	SMP	1	0	0	493.15	463.75	Faces_Pure_1_low.avi
1255203375	SMP	1	0	0	509.29	455.42	Faces_Pure_1_low.avi
1255236726	SMP	1	0	0	511.11	458.19	Faces_Pure_1_low.avi
1255270040	SMP	1	0	0	513.58	475.63	Faces_Pure_1_low.avi
1255303377	SMP	1	0	0	511.73	499.41	Faces_Pure_1_low.avi
1255336709	SMP	1	0	0	509.14	460.14	Faces_Pure_1_low.avi
1255370019	SMP	1	0	0	504.96	484.85	Faces_Pure_1_low.avi
1255403388	SMP	1	0	0	503.59	496.79	Faces_Pure_1_low.avi
1255436698	SMP	1	0	0	501.67	475.54	Faces_Pure_1_low.avi
1255470031	SMP	1	0	0	502.01	490.6	Faces_Pure_1_low.avi
1255503406	SMP	1	413.04	277.34	0	0	Faces_Pure_1_low.avi
1255536664	SMP	1	0	0	504.78	471.08	Faces_Pure_1_low.avi
1255569999	SMP	1	0	0	501.49	463.62	Faces_Pure_1_low.avi
1255603396	SMP	1	0	0	503.32	491.79	Faces_Pure_1_low.avi
1255636678	SMP	1	0	0	499.89	459.54	Faces_Pure_1_low.avi
1255669998	SMP	1	0	0	500.57	472.01	Faces_Pure_1_low.avi
1255703365	SMP	1	0	0	499.62	476.76	Faces_Pure_1_low.avi
1255736658	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1255769992	SMP	1	0	0	501.96	470.89	Faces_Pure_1_low.avi
1255803334	SMP	1	0	0	507.45	480.32	Faces_Pure_1_low.avi
1255836652	SMP	1	0	0	503.78	463.77	Faces_Pure_1_low.avi
1255870000	SMP	1	0	0	505.81	489.64	Faces_Pure_1_low.avi
1255903308	SMP	1	463.43	384.77	0	0	Faces_Pure_1_low.avi
1255936631	SMP	1	0	0	506.8	466.17	Faces_Pure_1_low.avi
1255969957	SMP	1	467.69	358.87	0	0	Faces_Pure_1_low.avi
1256003284	SMP	1	0	0	507.94	464.93	Faces_Pure_1_low.avi
1256036619	SMP	1	0	0	505.85	455.81	Faces_Pure_1_low.avi
1256069957	SMP	1	0	0	505.03	460.84	Faces_Pure_1_low.avi
1256103292	SMP	1	0	0	498.18	447.22	Faces_Pure_1_low.avi
1256136614	SMP	1	470.12	450.58	0	0	Faces_Pure_1_low.avi
1256169945	SMP	1	0	0	508.63	477.1	Faces_Pure_1_low.avi
1256203282	SMP	1	0	0	445.96	434.45	Faces_Pure_1_low.avi
1256236629	SMP	1	0	0	490	445.08	Faces_Pure_1_low.avi
1256269948	SMP	1	0	0	484.02	415.81	Faces_Pure_1_low.avi
1256303248	SMP	1	0	0	449.31	455.96	Faces_Pure_1_low.avi
1256336581	SMP	1	0	0	481.73	444.68	Faces_Pure_1_low.avi
1256369912	SMP	1	0	0	475.37	410.38	Faces_Pure_1_low.avi
1256403277	SMP	1	444.16	378.68	0	0	Faces_Pure_1_low.avi
1256436618	SMP	1	435.91	356.28	0	0	Faces_Pure_1_low.avi
1256469915	SMP	1	438.53	359.42	0	0	Faces_Pure_1_low.avi
1256503261	SMP	1	437.4	359.06	0	0	Faces_Pure_1_low.avi
1256536569	SMP	1	0	0	500.32	411.3	Faces_Pure_1_low.avi
1256569906	SMP	1	0	0	486.05	427.85	Faces_Pure_1_low.avi
1256603240	SMP	1	0	0	466.52	444.32	Faces_Pure_1_low.avi
1256636604	SMP	1	0	0	467.11	389.8	Faces_Pure_1_low.avi
1256669912	SMP	1	0	0	472.55	378.2	Faces_Pure_1_low.avi
1256703237	SMP	1	0	0	462.01	417.57	Faces_Pure_1_low.avi
1256736542	SMP	1	0	0	472.36	414.64	Faces_Pure_1_low.avi
1256769877	SMP	1	0	0	482.16	430.77	Faces_Pure_1_low.avi
1256803208	SMP	1	0	0	479.56	413.19	Faces_Pure_1_low.avi
1256836562	SMP	1	0	0	480.39	452.22	Faces_Pure_1_low.avi
1256869872	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
1256903244	SMP	1	0	0	0	0	Faces_Pure_1_low.avi
